company_id,from_year,to_year,previous_pattern,current_pattern
ICICIGI,Mar 2021,Mar 2022,Reinvestor,Liquidating Assets
ICICIGI,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
ICICIPRULI,Mar 2014,Mar 2015,Other,Reinvestor
ICICIPRULI,Mar 2015,Mar 2016,Reinvestor,Liquidating Assets
ICICIPRULI,Mar 2016,Mar 2017,Liquidating Assets,Reinvestor
ICICIPRULI,Mar 2020,Mar 2021,Reinvestor,Mixed
ICICIPRULI,Mar 2021,Mar 2022,Mixed,Reinvestor
ICICIPRULI,Mar 2023,Mar 2024,Reinvestor,Other
INDIGO,Mar 2014,Mar 2015,Mixed,Reinvestor
INDIGO,Mar 2017,Mar 2018,Reinvestor,Mixed
INDIGO,Mar 2018,Mar 2019,Mixed,Reinvestor
INDIGO,Mar 2020,Mar 2021,Reinvestor,Other
INDIGO,Mar 2021,Mar 2022,Other,Liquidating Assets
INDIGO,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
INDUSINDBK,Mar 2016,Mar 2017,Growth Funded by Debt,Reinvestor
INDUSINDBK,Mar 2017,Mar 2018,Reinvestor,Growth Funded by Debt
INDUSINDBK,Mar 2019,Mar 2020,Growth Funded by Debt,Distress Signal
INDUSINDBK,Mar 2020,Mar 2021,Distress Signal,Reinvestor
INDUSINDBK,Mar 2022,Mar 2023,Reinvestor,Growth Funded by Debt
INDUSINDBK,Mar 2023,Mar 2024,Growth Funded by Debt,Pre-Revenue
INFY,Mar 2014,Mar 2015,Reinvestor,Liquidating Assets
INFY,Mar 2015,Mar 2016,Liquidating Assets,Reinvestor
INFY,Mar 2017,Mar 2018,Reinvestor,Liquidating Assets
INFY,Mar 2018,Mar 2019,Liquidating Assets,Reinvestor
IOC,Mar 2013,Mar 2014,Mixed,Reinvestor
IOC,Mar 2018,Mar 2019,Reinvestor,Mixed
IOC,Mar 2020,Mar 2021,Mixed,Reinvestor
IRCTC,Mar 2015,Mar 2016,Reinvestor,Liquidating Assets
IRCTC,Mar 2018,Mar 2019,Liquidating Assets,Reinvestor
IRCTC,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
IRCTC,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
IRFC,Mar 2021,Mar 2022,Distress Signal,Growth Funded by Debt
IRFC,Mar 2022,Mar 2023,Growth Funded by Debt,Distress Signal
IRFC,Mar 2023,Mar 2024,Distress Signal,Reinvestor
ITC,Mar 2020,Mar 2021,Reinvestor,Liquidating Assets
ITC,Mar 2021,Mar 2022,Liquidating Assets,Reinvestor
ITC,Mar 2023,Mar 2024,Reinvestor,Liquidating Assets
JINDALSTEL,Mar 2015,Mar 2016,Mixed,Reinvestor
JINDALSTEL,Mar 2023,Mar 2024,Reinvestor,Mixed
JIOFIN,Mar 2023,Mar 2024,Reinvestor,Other
JSWENERGY,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
JSWENERGY,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
JSWENERGY,Mar 2022,Mar 2023,Reinvestor,Mixed
JSWSTEEL,Mar 2013,Mar 2014,Reinvestor,Mixed
JSWSTEEL,Mar 2014,Mar 2015,Mixed,Reinvestor
JSWSTEEL,Mar 2018,Mar 2019,Reinvestor,Mixed
JSWSTEEL,Mar 2020,Mar 2021,Mixed,Reinvestor
KOTAKBANK,Mar 2013,Mar 2014,Mixed,Reinvestor
KOTAKBANK,Mar 2014,Mar 2015,Reinvestor,Mixed
KOTAKBANK,Mar 2017,Mar 2018,Mixed,Growth Funded by Debt
KOTAKBANK,Mar 2018,Mar 2019,Growth Funded by Debt,Mixed
KOTAKBANK,Mar 2019,Mar 2020,Mixed,Reinvestor
KOTAKBANK,Mar 2021,Mar 2022,Reinvestor,Mixed
KOTAKBANK,Mar 2022,Mar 2023,Mixed,Growth Funded by Debt
KOTAKBANK,Mar 2023,Mar 2024,Growth Funded by Debt,Mixed
LICI,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
